TOTAL POI INVENTORY & CRITICAL WEIGHT ANALYSIS 2026
==========================================================================================

CITY: BIALYSTOK
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     4 |    131050453.74
apron                          | T0_MEGA_HUB          |     2 |    107147163.17
hangar                         | T0_MEGA_HUB          |     4 |     65204475.06
station                        | T0_MEGA_HUB          |    31 |     32435401.99
hospital                       | T1_REGIONAL_MAGNET   |    12 |     20408932.24
stadium                        | T1_REGIONAL_MAGNET   |     8 |     19258927.31
university                     | T1_REGIONAL_MAGNET   |    27 |     13933734.88
college                        | T1_REGIONAL_MAGNET   |     7 |      6728324.97
prison                         | T2_STRATEGIC_HUB     |     3 |      2539282.47
school                         | T2_STRATEGIC_HUB     |   159 |      1870165.49
courthouse                     | T2_STRATEGIC_HUB     |     4 |      1629694.32
mall                           | T2_STRATEGIC_HUB     |    31 |      1606877.17
department_store               | T2_STRATEGIC_HUB     |    10 |      1354979.15
supermarket                    | T2_STRATEGIC_HUB     |   171 |      1101110.55
social_facility                | T2_STRATEGIC_HUB     |    48 |      1096009.30
townhall                       | T2_STRATEGIC_HUB     |    17 |      1093841.01
government                     | T2_STRATEGIC_HUB     |    95 |      1014398.42
fire_station                   | T2_STRATEGIC_HUB     |    85 |       923166.68
police                         | T2_STRATEGIC_HUB     |    17 |       919593.11
nursing_home                   | T3_LOCAL_CORE        |     3 |       219917.96
music_school                   | T3_LOCAL_CORE        |     2 |       158479.25
sports_hall                    | T3_LOCAL_CORE        |     2 |       143337.00
theatre                        | T3_LOCAL_CORE        |    11 |       117478.40
kindergarten                   | T3_LOCAL_CORE        |   177 |        86651.80
swimming_pool                  | T3_LOCAL_CORE        |    23 |        79858.31
water_park                     | T3_LOCAL_CORE        |     1 |        70444.94
language_school                | T3_LOCAL_CORE        |     5 |        67829.68
cinema                         | T3_LOCAL_CORE        |     5 |        67829.68
driving_school                 | T3_LOCAL_CORE        |    14 |        66158.38
library                        | T3_LOCAL_CORE        |    33 |        64769.72
clinic                         | T3_LOCAL_CORE        |    61 |        63778.68
dentist                        | T3_LOCAL_CORE        |    71 |        63534.65
doctors                        | T3_LOCAL_CORE        |    91 |        63136.67
park                           | T4_DAILY_SERVICE     |    64 |        18602.25
garden                         | T4_DAILY_SERVICE     |    91 |        12950.54
